Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,
"('1', None)","('Bitcoin', 'https://coinmarketcap.com/currencies/bitcoin/')","('BTC', None)","('$507,090,156,466.71', None)","('$26,047.67', None)","('19,467,775 BTC', None)","('$12,406,045,117.51', 'https://coinmarketcap.com/currencies/bitcoin/#markets/')","('0.02%', None)","('-0.44%', None)","('-0.01%', None)","('', None)"
"('2', None)","('Ethereum', 'https://coinmarketcap.com/currencies/ethereum/')","('ETH', None)","('$198,709,982,386.16', None)","('$1,652.94', None)","('120,216,444 ETH *', None)","('$5,396,997,822.81', 'https://coinmarketcap.com/currencies/ethereum/#markets/')","('-0.03%', None)","('-0.42%', None)","('-0.48%', None)","('', None)"
"('3', None)","('Tether USDt', 'https://coinmarketcap.com/currencies/tether/')","('USDT', None)","('$82,807,252,662.66', None)","('$0.9995', None)","('82,849,133,566 USDT *', None)","('$19,999,153,581.65', 'https://coinmarketcap.com/currencies/tether/#markets/')","('-0.02%', None)","('<0.01%', None)","('-0.03%', None)","('', None)"
"('4', None)","('BNB', 'https://coinmarketcap.com/currencies/bnb/')","('BNB', None)","('$33,590,478,887.30', None)","('$218.33', None)","('153,851,122 BNB *', None)","('$423,891,091.63', 'https://coinmarketcap.com/currencies/bnb/#markets/')","('0.16%', None)","('-0.14%', None)","('1.03%', None)","('', None)"
"('5', None)","('XRP', 'https://coinmarketcap.com/currencies/xrp/')","('XRP', None)","('$27,845,876,512.16', None)","('$0.5262', None)","('52,914,193,551 XRP *', None)","('$1,067,427,241.27', 'https://coinmarketcap.com/currencies/xrp/#markets/')","('0.04%', None)","('1.51%', None)","('3.98%', None)","('', None)"
"('6', None)","('USD Coin', 'https://coinmarketcap.com/currencies/usd-coin/')","('USDC', None)","('$25,919,090,832.39', None)","('$1.0001', None)","('25,916,750,966 USDC *', None)","('$2,870,155,394.25', 'https://coinmarketcap.com/currencies/usd-coin/#markets/')","('-0.01%', None)","('0.02%', None)","('0.00%', None)","('', None)"
"('7', None)","('Cardano', 'https://coinmarketcap.com/currencies/cardano/')","('ADA', None)","('$9,152,956,074.04', None)","('$0.2611', None)","('35,058,106,675 ADA *', None)","('$226,745,371.90', 'https://coinmarketcap.com/currencies/cardano/#markets/')","('0.15%', None)","('-1.81%', None)","('-1.07%', None)","('', None)"
"('8', None)","('Dogecoin', 'https://coinmarketcap.com/currencies/dogecoin/')","('DOGE', None)","('$8,878,470,592.73', None)","('$0.06308', None)","('140,739,636,384 DOGE', None)","('$202,977,283.44', 'https://coinmarketcap.com/currencies/dogecoin/#markets/')","('0.12%', None)","('0.08%', None)","('-0.24%', None)","('', None)"
"('9', None)","('Solana', 'https://coinmarketcap.com/currencies/solana/')","('SOL', None)","('$8,318,053,764.65', None)","('$20.39', None)","('407,893,307 SOL *', None)","('$278,312,420.21', 'https://coinmarketcap.com/currencies/solana/#markets/')","('0.26%', None)","('-3.04%', None)","('-4.42%', None)","('', None)"
"('10', None)","('TRON', 'https://coinmarketcap.com/currencies/tron/')","('TRX', None)","('$6,900,049,920.05', None)","('$0.0772', None)","('89,376,407,310 TRX *', None)","('$174,447,305.16', 'https://coinmarketcap.com/currencies/tron/#markets/')","('0.12%', None)","('0.86%', None)","('5.76%', None)","('', None)"
"('11', None)","('Polkadot', 'https://coinmarketcap.com/currencies/polkadot-new/')","('DOT', None)","('$5,458,384,818.16', None)","('$4.4865', None)","('1,216,636,775 DOT *', None)","('$94,505,373.46', 'https://coinmarketcap.com/currencies/polkadot-new/#markets/')","('0.11%', None)","('1.47%', None)","('-0.56%', None)","('', None)"
"('12', None)","('Dai', 'https://coinmarketcap.com/currencies/multi-collateral-dai/')","('DAI', None)","('$5,347,822,079.04', None)","('$0.9999', None)","('5,347,888,596 DAI *', None)","('$75,095,538.95', 'https://coinmarketcap.com/currencies/multi-collateral-dai/#markets/')","('-0.03%', None)","('-0.02%', None)","('0.03%', None)","('', None)"
"('13', None)","('Polygon', 'https://coinmarketcap.com/currencies/polygon/')","('MATIC', None)","('$5,090,241,628.57', None)","('$0.5462', None)","('9,319,469,069 MATIC *', None)","('$274,560,763.21', 'https://coinmarketcap.com/currencies/polygon/#markets/')","('0.12%', None)","('-0.17%', None)","('-5.47%', None)","('', None)"
"('14', None)","('Toncoin', 'https://coinmarketcap.com/currencies/toncoin/')","('TON', None)","('$4,897,461,704.62', None)","('$1.4270', None)","('3,431,892,088 TON *', None)","('$29,643,403.69', 'https://coinmarketcap.com/currencies/toncoin/#markets/')","('0.02%', None)","('1.12%', None)","('11.85%', None)","('', None)"
"('15', None)","('Litecoin', 'https://coinmarketcap.com/currencies/litecoin/')","('LTC', None)","('$4,790,996,215.75', None)","('$65.11', None)","('73,580,945 LTC', None)","('$268,487,447.25', 'https://coinmarketcap.com/currencies/litecoin/#markets/')","('-0.08%', None)","('0.36%', None)","('1.61%', None)","('', None)"
"('16', None)","('Shiba Inu', 'https://coinmarketcap.com/currencies/shiba-inu/')","('SHIB', None)","('$4,796,905,977.53', None)","('$0.00000814', None)","('589,346,914,631,298 SHIB *', None)","('$139,371,203.42', 'https://coinmarketcap.com/currencies/shiba-inu/#markets/')","('0.21%', None)","('-0.70%', None)","('-5.17%', None)","('', None)"
"('17', None)","('Wrapped Bitcoin', 'https://coinmarketcap.com/currencies/wrapped-bitcoin/')","('WBTC', None)","('$4,243,855,522.84', None)","('$26,053.60', None)","('162,889 WBTC *', None)","('$76,364,182.11', 'https://coinmarketcap.com/currencies/wrapped-bitcoin/#markets/')","('<0.01%', None)","('-0.34%', None)","('-0.09%', None)","('', None)"
"('18', None)","('Bitcoin Cash', 'https://coinmarketcap.com/currencies/bitcoin-cash/')","('BCH', None)","('$3,742,379,987.32', None)","('$192.05', None)","('19,486,281 BCH', None)","('$139,896,933.21', 'https://coinmarketcap.com/currencies/bitcoin-cash/#markets/')","('-0.19%', None)","('-1.24%', None)","('2.55%', None)","('', None)"
"('19', None)","('UNUS SED LEO', 'https://coinmarketcap.com/currencies/unus-sed-leo/')","('LEO', None)","('$3,565,997,081.68', None)","('$3.8364', None)","('929,525,858 LEO *', None)","('$537,932.26', 'https://coinmarketcap.com/currencies/unus-sed-leo/#markets/')","('0.19%', None)","('0.24%', None)","('-2.50%', None)","('', None)"
"('20', None)","('Avalanche', 'https://coinmarketcap.com/currencies/avalanche/')","('AVAX', None)","('$3,459,082,269.77', None)","('$10.05', None)","('344,083,482 AVAX *', None)","('$120,285,068.43', 'https://coinmarketcap.com/currencies/avalanche/#markets/')","('-0.04%', None)","('-0.59%', None)","('-6.91%', None)","('', None)"
"('21', None)","('Stellar', 'https://coinmarketcap.com/currencies/stellar/')","('XLM', None)","('$3,395,969,321.15', None)","('$0.1239', None)","('27,417,916,736 XLM *', None)","('$89,277,309.03', 'https://coinmarketcap.com/currencies/stellar/#markets/')","('0.19%', None)","('0.08%', None)","('6.08%', None)","('', None)"
"('22', None)","('Chainlink', 'https://coinmarketcap.com/currencies/chainlink/')","('LINK', None)","('$3,232,593,123.90', None)","('$6.0074', None)","('538,099,970 LINK *', None)","('$161,052,214.60', 'https://coinmarketcap.com/currencies/chainlink/#markets/')","('0.30%', None)","('-1.16%', None)","('-2.65%', None)","('', None)"
"('23', None)","('Binance USD', 'https://coinmarketcap.com/currencies/binance-usd/')","('BUSD', None)","('$3,153,614,715.61', None)","('$1.0003', None)","('3,152,534,685 BUSD *', None)","('$1,079,878,217.44', 'https://coinmarketcap.com/currencies/binance-usd/#markets/')","('-0.02%', None)","('-0.03%', None)","('-0.02%', None)","('', None)"
"('24', None)","('TrueUSD', 'https://coinmarketcap.com/currencies/trueusd/')","('TUSD', None)","('$2,906,332,785.19', None)","('$0.9996', None)","('2,907,448,856 TUSD *', None)","('$1,733,339,380.82', 'https://coinmarketcap.com/currencies/trueusd/#markets/')","('-0.08%', None)","('-0.01%', None)","('0.04%', None)","('', None)"
"('25', None)","('Uniswap', 'https://coinmarketcap.com/currencies/uniswap/')","('UNI', None)","('$2,627,527,906.85', None)","('$4.5498', None)","('577,501,031 UNI *', None)","('$87,112,537.96', 'https://coinmarketcap.com/currencies/uniswap/#markets/')","('0.20%', None)","('-2.21%', None)","('-7.35%', None)","('', None)"
"('26', None)","('Monero', 'https://coinmarketcap.com/currencies/monero/')","('XMR', None)","('$2,563,461,708.97', None)","('$139.90', None)","('18,323,142 XMR', None)","('$62,511,771.52', 'https://coinmarketcap.com/currencies/monero/#markets/')","('-0.19%', None)","('1.08%', None)","('-2.50%', None)","('', None)"
"('27', None)","('OKB', 'https://coinmarketcap.com/currencies/okb/')","('OKB', None)","('$2,560,000,113.73', None)","('$42.67', None)","('60,000,000 OKB *', None)","('$1,728,990.68', 'https://coinmarketcap.com/currencies/okb/#markets/')","('-0.05%', None)","('-0.88%', None)","('0.77%', None)","('', None)"
"('28', None)","('Cosmos', 'https://coinmarketcap.com/currencies/cosmos/')","('ATOM', None)","('$2,510,937,180.90', None)","('$7.2443', None)","('346,608,690 ATOM *', None)","('$87,429,486.09', 'https://coinmarketcap.com/currencies/cosmos/#markets/')","('-0.09%', None)","('0.55%', None)","('-4.39%', None)","('', None)"
"('29', None)","('Ethereum Classic', 'https://coinmarketcap.com/currencies/ethereum-classic/')","('ETC', None)","('$2,282,733,161.55', None)","('$16.00', None)","('142,692,668 ETC', None)","('$75,525,218.61', 'https://coinmarketcap.com/currencies/ethereum-classic/#markets/')","('0.20%', None)","('-0.29%', None)","('3.71%', None)","('', None)"
"('30', None)","('Hedera', 'https://coinmarketcap.com/currencies/hedera/')","('HBAR', None)","('$1,947,264,958.07', None)","('$0.05886', None)","('33,083,237,217 HBAR *', None)","('$82,946,495.90', 'https://coinmarketcap.com/currencies/hedera/#markets/')","('0.11%', None)","('-0.63%', None)","('-0.36%', None)","('', None)"
"('31', None)","('Internet Computer', 'https://coinmarketcap.com/currencies/internet-computer/')","('ICP', None)","('$1,551,766,082.28', None)","('$3.5101', None)","('442,084,120 ICP *', None)","('$16,614,482.50', 'https://coinmarketcap.com/currencies/internet-computer/#markets/')","('0.15%', None)","('-2.52%', None)","('0.15%', None)","('', None)"
"('32', None)","('Filecoin', 'https://coinmarketcap.com/currencies/filecoin/')","('FIL', None)","('$1,434,049,850.09', None)","('$3.2352', None)","('443,258,347 FIL', None)","('$96,585,090.02', 'https://coinmarketcap.com/currencies/filecoin/#markets/')","('0.11%', None)","('-1.87%', None)","('-7.56%', None)","('', None)"
"('33', None)","('Mantle', 'https://coinmarketcap.com/currencies/mantle/')","('MNT', None)","('$1,389,503,504.21', None)","('$0.4296', None)","('3,234,382,071 MNT *', None)","('$12,277,953.46', 'https://coinmarketcap.com/currencies/mantle/#markets/')","('0.00%', None)","('1.76%', None)","('0.66%', None)","('', None)"
"('34', None)","('Lido DAO', 'https://coinmarketcap.com/currencies/lido-dao/')","('LDO', None)","('$1,383,021,589.59', None)","('$1.5580', None)","('887,699,772 LDO *', None)","('$67,800,848.27', 'https://coinmarketcap.com/currencies/lido-dao/#markets/')","('0.95%', None)","('-4.65%', None)","('-4.66%', None)","('', None)"
"('35', None)","('Cronos', 'https://coinmarketcap.com/currencies/cronos/')","('CRO', None)","('$1,294,165,405.57', None)","('$0.05123', None)","('25,263,013,692 CRO *', None)","('$6,005,789.23', 'https://coinmarketcap.com/currencies/cronos/#markets/')","('0.10%', None)","('-0.51%', None)","('-1.18%', None)","('', None)"
"('36', None)","('Aptos', 'https://coinmarketcap.com/currencies/aptos/')","('APT', None)","('$1,293,223,853.59', None)","('$5.6911', None)","('227,235,133 APT *', None)","('$88,396,875.79', 'https://coinmarketcap.com/currencies/aptos/#markets/')","('0.25%', None)","('-2.15%', None)","('-2.42%', None)","('', None)"
"('37', None)","('Quant', 'https://coinmarketcap.com/currencies/quant/')","('QNT', None)","('$1,224,514,289.72', None)","('$101.43', None)","('12,072,738 QNT *', None)","('$12,974,257.69', 'https://coinmarketcap.com/currencies/quant/#markets/')","('0.28%', None)","('1.39%', None)","('1.56%', None)","('', None)"
"('38', None)","('Arbitrum', 'https://coinmarketcap.com/currencies/arbitrum/')","('ARB', None)","('$1,208,723,808.64', None)","('$0.948', None)","('1,275,000,000 ARB *', None)","('$152,807,293.97', 'https://coinmarketcap.com/currencies/arbitrum/#markets/')","('0.51%', None)","('-3.28%', None)","('-5.83%', None)","('', None)"
"('39', None)","('VeChain', 'https://coinmarketcap.com/currencies/vechain/')","('VET', None)","('$1,167,316,310.31', None)","('$0.01605', None)","('72,714,516,834 VET *', None)","('$23,309,138.00', 'https://coinmarketcap.com/currencies/vechain/#markets/')","('0.33%', None)","('1.07%', None)","('0.04%', None)","('', None)"
"('40', None)","('NEAR Protocol', 'https://coinmarketcap.com/currencies/near-protocol/')","('NEAR', None)","('$1,120,314,403.12', None)","('$1.1897', None)","('941,671,517 NEAR *', None)","('$47,022,915.54', 'https://coinmarketcap.com/currencies/near-protocol/#markets/')","('0.14%', None)","('-0.38%', None)","('4.13%', None)","('', None)"
"('41', None)","('Optimism', 'https://coinmarketcap.com/currencies/optimism-ethereum/')","('OP', None)","('$1,052,692,332.09', None)","('$1.4688', None)","('716,708,907 OP *', None)","('$152,907,326.63', 'https://coinmarketcap.com/currencies/optimism-ethereum/#markets/')","('-0.01%', None)","('-7.34%', None)","('2.02%', None)","('', None)"
"('42', None)","('Maker', 'https://coinmarketcap.com/currencies/maker/')","('MKR', None)","('$990,504,480.61', None)","('$1,013.17', None)","('977,631 MKR *', None)","('$64,448,513.14', 'https://coinmarketcap.com/currencies/maker/#markets/')","('0.14%', None)","('-1.75%', None)","('-5.42%', None)","('', None)"
"('43', None)","('Aave', 'https://coinmarketcap.com/currencies/aave/')","('AAVE', None)","('$826,232,881.80', None)","('$56.89', None)","('14,524,340 AAVE *', None)","('$68,297,790.82', 'https://coinmarketcap.com/currencies/aave/#markets/')","('0.27%', None)","('-0.82%', None)","('1.90%', None)","('', None)"
"('44', None)","('The Graph', 'https://coinmarketcap.com/currencies/the-graph/')","('GRT', None)","('$816,867,738.33', None)","('$0.08914', None)","('9,164,031,528 GRT *', None)","('$36,019,315.03', 'https://coinmarketcap.com/currencies/the-graph/#markets/')","('0.20%', None)","('-2.75%', None)","('-1.43%', None)","('', None)"
"('45', None)","('Algorand', 'https://coinmarketcap.com/currencies/algorand/')","('ALGO', None)","('$758,703,967.47', None)","('$0.09693', None)","('7,827,171,346 ALGO *', None)","('$22,762,098.11', 'https://coinmarketcap.com/currencies/algorand/#markets/')","('0.05%', None)","('-0.33%', None)","('1.62%', None)","('', None)"
"('46', None)","('XDC Network', 'https://coinmarketcap.com/currencies/xdc-network/')","('XDC', None)","('$733,226,989.17', None)","('$0.05291', None)","('13,858,710,886 XDC *', None)","('$10,528,676.98', 'https://coinmarketcap.com/currencies/xdc-network/#markets/')","('0.04%', None)","('-1.33%', None)","('-9.71%', None)","('', None)"
"('47', None)","('USDD', 'https://coinmarketcap.com/currencies/usdd/')","('USDD', None)","('$723,638,753.88', None)","('$0.9977', None)","('725,332,035 USDD *', None)","('$24,074,045.57', 'https://coinmarketcap.com/currencies/usdd/#markets/')","('-0.01%', None)","('-0.04%', None)","('0.21%', None)","('', None)"
"('48', None)","('Axie Infinity', 'https://coinmarketcap.com/currencies/axie-infinity/')","('AXS', None)","('$683,752,252.20', None)","('$4.8546', None)","('140,847,467 AXS *', None)","('$16,559,944.78', 'https://coinmarketcap.com/currencies/axie-infinity/#markets/')","('0.41%', None)","('-0.41%', None)","('-0.41%', None)","('', None)"
"('49', None)","('The Sandbox', 'https://coinmarketcap.com/currencies/the-sandbox/')","('SAND', None)","('$666,749,800.85', None)","('$0.3229', None)","('2,064,931,926 SAND *', None)","('$49,328,785.00', 'https://coinmarketcap.com/currencies/the-sandbox/#markets/')","('0.49%', None)","('-0.24%', None)","('-1.63%', None)","('', None)"
"('50', None)","('Tezos', 'https://coinmarketcap.com/currencies/tezos/')","('XTZ', None)","('$661,943,435.76', None)","('$0.6967', None)","('950,170,580 XTZ *', None)","('$13,871,033.93', 'https://coinmarketcap.com/currencies/tezos/#markets/')","('0.02%', None)","('0.44%', None)","('-0.62%', None)","('', None)"
"('51', None)","('Stacks', 'https://coinmarketcap.com/currencies/stacks/')","('STX', None)","('$660,397,460.79', None)","('$0.4706', None)","('1,403,323,335 STX', None)","('$13,463,491.10', 'https://coinmarketcap.com/currencies/stacks/#markets/')","('0.15%', None)","('-0.90%', None)","('-1.71%', None)","('', None)"
"('52', None)","('MultiversX', 'https://coinmarketcap.com/currencies/multiversx-egld/')","('EGLD', None)","('$655,307,121.86', None)","('$25.32', None)","('25,879,171 EGLD *', None)","('$15,831,684.24', 'https://coinmarketcap.com/currencies/multiversx-egld/#markets/')","('0.15%', None)","('-1.13%', None)","('-7.45%', None)","('', None)"
"('53', None)","('EOS', 'https://coinmarketcap.com/currencies/eos/')","('EOS', None)","('$645,857,673.66', None)","('$0.5867', None)","('1,100,753,047 EOS *', None)","('$87,931,284.06', 'https://coinmarketcap.com/currencies/eos/#markets/')","('0.09%', None)","('0.29%', None)","('2.18%', None)","('', None)"
"('54', None)","('Theta Network', 'https://coinmarketcap.com/currencies/theta-network/')","('THETA', None)","('$635,749,025.28', None)","('$0.6357', None)","('1,000,000,000 THETA *', None)","('$9,643,726.70', 'https://coinmarketcap.com/currencies/theta-network/#markets/')","('0.10%', None)","('0.49%', None)","('1.48%', None)","('', None)"
"('55', None)","('Immutable', 'https://coinmarketcap.com/currencies/immutable-x/')","('IMX', None)","('$632,186,784.21', None)","('$0.5627', None)","('1,123,390,887 IMX *', None)","('$35,319,141.27', 'https://coinmarketcap.com/currencies/immutable-x/#markets/')","('0.64%', None)","('-3.13%', None)","('-5.97%', None)","('', None)"
"('56', None)","('Injective', 'https://coinmarketcap.com/currencies/injective/')","('INJ', None)","('$608,735,271.00', None)","('$7.2680', None)","('83,755,556 INJ *', None)","('$29,903,353.75', 'https://coinmarketcap.com/currencies/injective/#markets/')","('-0.03%', None)","('-2.70%', None)","('-7.73%', None)","('', None)"
"('57', None)","('Fantom', 'https://coinmarketcap.com/currencies/fantom/')","('FTM', None)","('$582,258,459.46', None)","('$0.2077', None)","('2,802,691,357 FTM *', None)","('$29,980,644.43', 'https://coinmarketcap.com/currencies/fantom/#markets/')","('0.11%', None)","('-0.92%', None)","('3.89%', None)","('', None)"
"('58', None)","('Bitcoin SV', 'https://coinmarketcap.com/currencies/bitcoin-sv/')","('BSV', None)","('$579,354,449.45', None)","('$30.07', None)","('19,266,077 BSV', None)","('$16,935,868.42', 'https://coinmarketcap.com/currencies/bitcoin-sv/#markets/')","('0.18%', None)","('-2.86%', None)","('3.04%', None)","('', None)"
"('59', None)","('Decentraland', 'https://coinmarketcap.com/currencies/decentraland/')","('MANA', None)","('$578,069,048.78', None)","('$0.3054', None)","('1,893,095,371 MANA *', None)","('$44,607,866.97', 'https://coinmarketcap.com/currencies/decentraland/#markets/')","('0.48%', None)","('0.07%', None)","('-0.36%', None)","('', None)"
"('60', None)","('Synthetix', 'https://coinmarketcap.com/currencies/synthetix/')","('SNX', None)","('$555,024,528.45', None)","('$2.0624', None)","('269,121,362 SNX *', None)","('$32,694,877.37', 'https://coinmarketcap.com/currencies/synthetix/#markets/')","('0.55%', None)","('-0.58%', None)","('-5.46%', None)","('', None)"
"('61', None)","('Render', 'https://coinmarketcap.com/currencies/render/')","('RNDR', None)","('$548,179,027.60', None)","('$1.4740', None)","('371,908,453 RNDR *', None)","('$25,652,189.20', 'https://coinmarketcap.com/currencies/render/#markets/')","('0.55%', None)","('0.74%', None)","('3.70%', None)","('', None)"
"('62', None)","('ApeCoin', 'https://coinmarketcap.com/currencies/apecoin-ape/')","('APE', None)","('$533,029,166.23', None)","('$1.4461', None)","('368,593,750 APE *', None)","('$48,122,107.87', 'https://coinmarketcap.com/currencies/apecoin-ape/#markets/')","('0.88%', None)","('0.53%', None)","('-7.47%', None)","('', None)"
"('63', None)","('Pax Dollar', 'https://coinmarketcap.com/currencies/paxos-standard/')","('USDP', None)","('$509,987,125.72', None)","('$0.9996', None)","('510,215,145 USDP *', None)","('$15,049,818.82', 'https://coinmarketcap.com/currencies/paxos-standard/#markets/')","('0.37%', None)","('0.28%', None)","('0.81%', None)","('', None)"
"('64', None)","('Neo', 'https://coinmarketcap.com/currencies/neo/')","('NEO', None)","('$506,141,678.92', None)","('$7.1754', None)","('70,538,831 NEO *', None)","('$21,426,170.45', 'https://coinmarketcap.com/currencies/neo/#markets/')","('0.42%', None)","('0.51%', None)","('2.55%', None)","('', None)"
"('65', None)","('THORChain', 'https://coinmarketcap.com/currencies/thorchain/')","('RUNE', None)","('$504,043,588.86', None)","('$1.4807', None)","('340,415,651 RUNE *', None)","('$78,363,548.78', 'https://coinmarketcap.com/currencies/thorchain/#markets/')","('0.05%', None)","('-1.08%', None)","('-8.00%', None)","('', None)"
"('66', None)","('Kava', 'https://coinmarketcap.com/currencies/kava/')","('KAVA', None)","('$491,529,841.24', None)","('$0.6834', None)","('719,219,914 KAVA *', None)","('$10,826,058.77', 'https://coinmarketcap.com/currencies/kava/#markets/')","('0.35%', None)","('-2.01%', None)","('-1.86%', None)","('', None)"
